,z_centroid/z_shape,x_centroid/x_shape,y_centroid/y_shape,z_max/z_shape,x_max/x_shape,y_max/y_shape,z_min/z_shape,x_min/x_shape,y_min/y_shape,z_length/z_shape,x_length/x_shape,y_length/y_shape,iou_on_xoy,distance_nearest_centroid,point_count,mean_z_distance_on_xoy,std_z_distance_on_xoy,std_z_distance_div_mean_z_distance,median_z_distance_on_xoy,skew_z_distance_on_xoy,kurt_z_distance_on_xoy,quantile_down_z_distance_on_xoy,quantile_up_z_distance_on_xoy,mean_x_distance_on_zoy,std_x_distance_on_zoy,median_x_distance_on_zoy,std_x_distance_div_mean_x_distance,skew_x_distance_on_zoy,kurt_x_distance_on_zoy,quantile_down_x_distance_on_zoy,quantile_up_x_distance_on_zoy,mean_y_distance_on_zox,std_y_distance_on_zox,median_y_distance_on_zox,std_y_distance_div_mean_y_distance,skew_y_distance_on_zox,kurt_y_distance_on_zox,quantile_down_y_distance_on_zox,quantile_up_y_distance_on_zox,max_nonzero_internal,target,class_id
0,0.009842666203537973,0.6182337234232477,0.7160660188443663,0.027972027972027972,0.6961832061068702,0.8106870229007633,0.0,0.5480916030534351,0.6427480916030535,0.03146853146853147,0.14961832061068703,0.16946564885496182,0.24673653245081817,0.19494396307141043,13811,4.182563338301043,2.409026382566572,0.576070251047111,4.0,-0.27539059420310447,-1.2604067356924937,2.0,7.0,19.184971098265898,7.863922613452185,17.0,0.40993091114178976,0.6463464190665789,0.8578212772530831,15.0,23.0,23.967799642218246,9.137090153649238,26.0,0.3812493862877287,-0.7780727936476299,-0.14613007245136567,19.0,30.0,1,0,2
0,0.5565798381815962,0.8464582768339732,0.7078940673108913,0.9965034965034965,0.8687022900763359,0.9007633587786259,0.0,0.7969465648854962,0.5465648854961832,1.0,0.0732824427480916,0.35572519083969467,0.11409155937052932,0.6828347514130911,122865,124.02272727272727,80.50462581233207,0.6491147104077979,116.0,0.18074094989508682,-1.0769335085142937,55.0,186.0,1.3257178550472262,0.9016258386658946,1.0,0.6803449846039531,0.07490841930185278,-0.817568780408279,1.0,2.0,10.076220583069897,8.492656623331357,8.0,0.8428570708872855,1.1973549529630112,1.2420887730451158,4.0,14.0,1,0,12
0,0.5597434188544891,0.8499894477442296,0.2933021332749027,0.9965034965034965,0.8717557251908397,0.4381679389312977,0.0,0.8030534351145038,0.10229007633587786,1.0,0.07022900763358779,0.3374045801526718,0.09994097973637615,0.293687039094134,87026,112.63484251968504,78.37148827198143,0.6958041642764337,97.0,0.6144825605278876,-0.6068673123809685,50.0,162.25,1.295113525487197,0.8812148867271092,1.0,0.6806617394070422,0.09381637360895419,-0.7362604132659567,1.0,2.0,10.614080164439876,8.062892772317669,9.0,0.7596638600367249,0.7110926949959804,-0.18204457528835194,4.0,16.0,8,0,13
0,0.27437008993811235,0.6949462722467872,0.646976364071104,0.34615384615384615,0.7129770992366412,0.7312977099236642,0.18181818181818182,0.650381679389313,0.5740458015267176,0.16783216783216784,0.06412213740458016,0.15877862595419848,0.2806776556776557,1.884322332404407,6417,4.238172920065253,1.9915030745114424,0.4700216556584278,4.0,-0.30414788966164724,-0.7101132941026265,3.0,6.0,5.661825726141079,2.503943968300481,6.0,0.4423487653411276,0.4815272606731987,0.7166128376856085,4.0,7.0,10.998137802607076,7.437676140872052,10.0,0.6762962947067449,0.48787540169700094,-0.7265190347482218,5.0,16.0,1,1,243
0,0.30465261768413343,0.6900017438744818,0.2971759416603976,0.4020979020979021,0.7404580152671756,0.4015267175572519,0.1993006993006993,0.5618320610687023,0.2198473282442748,0.2062937062937063,0.1801526717557252,0.183206106870229,0.13495762711864406,6.700061801737843,11994,5.276295133437991,2.5234104083099287,0.47835308514673786,5.0,-0.11896798437287477,-0.5653437006943407,4.0,7.0,7.778346744696416,3.335974448708002,8.0,0.4289530417169013,0.3047171892390354,1.2849705079286036,6.0,9.0,9.74731182795699,6.403946508508798,8.0,0.6570313528687275,1.0574636094656948,0.5456778885308076,6.0,13.0,1,1,263
0,0.3209640638344916,0.7011227952277062,0.6979590919201337,0.4195804195804196,0.7465648854961832,0.7847328244274809,0.20279720279720279,0.5893129770992367,0.5709923664122137,0.2202797202797203,0.15877862595419848,0.2152671755725191,0.13120567375886524,10.898767062054041,12904,5.711018711018711,2.768341792189119,0.4848271569641305,6.0,-0.13331028503168038,-0.6612272010083848,4.0,8.0,8.243919885550786,4.057198708389929,9.0,0.4922059601212036,1.02063159379997,2.8971456132263746,6.0,10.0,9.358747993579454,6.311247030008503,8.0,0.674403523934463,1.254673438288753,1.2140650783668017,5.0,12.0,23,1,270
0,0.35758749934928596,0.6689822514348492,0.26581099767014565,0.46853146853146854,0.7526717557251908,0.3984732824427481,0.23076923076923078,0.4778625954198473,0.1969465648854962,0.24125874125874125,0.27633587786259545,0.20305343511450383,0.12383167864412412,15.428065769752534,20150,5.769875880576987,2.9363570804744246,0.508996752184651,5.0,0.04545101442402467,-0.7642032171388742,4.0,8.0,10.555428571428571,6.064929951492217,11.0,0.5746195231131406,1.1923688617938764,2.0136283562029385,7.0,12.0,9.593175853018373,6.778678235219865,8.0,0.7066451917375423,1.7540318136363362,3.1690946891257283,6.0,11.0,1,1,367
0,0.3825302486560093,0.6893154102915185,0.7211943582381624,0.486013986013986,0.7572519083969466,0.8106870229007633,0.23426573426573427,0.5145038167938931,0.5694656488549619,0.25524475524475526,0.24427480916030533,0.24274809160305344,0.10963050314465408,16.585013338819813,20706,6.437074220150592,3.0679889410857166,0.4766936254757762,6.0,-0.0654449418015877,-0.6787314636701773,4.0,9.0,9.992076069730587,5.027455336151783,10.0,0.5031939415915354,0.8140950699060314,1.45992347914328,7.0,12.0,9.815432742440041,7.887268558634669,7.0,0.8035779152777963,1.9790999853541122,3.9594071737706527,6.0,11.0,1,1,378
0,0.4075106388273648,0.6491547377562791,0.25036616408082857,0.527972027972028,0.7603053435114504,0.3969465648854962,0.25874125874125875,0.41374045801526715,0.1801526717557252,0.2727272727272727,0.3480916030534351,0.2183206106870229,0.1145564961354435,21.52125913514592,27257,6.3876840696117805,3.2235339699274794,0.5047258456972695,6.0,-0.04694728830848587,-0.7125225885452791,4.0,9.0,12.236754176610978,6.9260857464476056,12.0,0.5660422367109466,0.9062862460121325,1.1772724094296683,8.0,15.0,10.001591089896579,7.279426433341047,8.0,0.727854049806641,2.122693985411895,5.486784452233342,6.0,11.0,1,1,432
0,0.43811569613263757,0.6625446716725882,0.7400346519391114,0.5454545454545454,0.7603053435114504,0.8305343511450382,0.2692307692307692,0.46259541984732827,0.5679389312977099,0.27972027972027974,0.29923664122137406,0.2641221374045801,0.10369234398961896,21.512912361657072,26444,6.658703071672355,2.8254303256636417,0.4244078595164575,7.0,-0.29866314830134066,-0.45409750765991763,5.0,9.0,11.381433823529411,5.854535914211397,11.0,0.514436192205837,0.5446065182647996,0.5658939274990806,8.0,14.0,10.163771712158809,8.606343851477078,8.0,0.8467818161800151,2.7144270931683208,8.930877009111484,6.0,11.0,1,1,476
0,0.4531983060268413,0.618627579473079,0.2441397329842296,0.583916083916084,0.7572519083969466,0.3938931297709924,0.2902097902097902,0.3893129770992366,0.17862595419847327,0.2972027972027972,0.36946564885496186,0.216793893129771,0.11500407403096263,25.590464627120276,30811,6.968876518218623,2.9912202502672605,0.42930749812365665,7.0,0.006224582479004628,-0.13744352915035218,5.0,9.0,12.545650301464255,7.436639184194725,12.0,0.5927987953347769,0.9775379719962859,1.0946306099079792,8.0,15.0,9.773474982864975,6.914514674656372,9.0,0.7075075323001524,2.5927371055564925,9.533168552930347,6.0,11.0,1,1,540
0,0.48687694626341177,0.639163863327763,0.7441115360637491,0.5944055944055944,0.7633587786259542,0.8290076335877863,0.3041958041958042,0.4198473282442748,0.5648854961832062,0.2937062937062937,0.3450381679389313,0.26564885496183205,0.10047299359169973,22.904273546295396,29436,6.55403695267021,2.6203784203767073,0.3999029203502632,7.0,-0.6043128636108678,-0.25834594301210956,5.0,9.0,12.246787771377935,6.810685284725825,12.0,0.5561563779415062,0.8435547909044988,1.0302216479246682,8.0,15.0,9.771274685816875,8.777651341086885,8.0,0.8983222047398955,3.9175712770883226,20.312394531248074,6.0,10.0,1,1,613
0,0.737651478649689,0.6240976069210846,0.20141100808253978,0.986013986013986,0.7862595419847328,0.4198473282442748,0.32167832167832167,0.3297709923664122,0.0,0.6678321678321678,0.4580152671755725,0.4213740458015267,0.35747584541062805,6.135277773070021,326324,20.38014797797223,21.817162962558676,1.0705070679109716,10.0,1.575834909558696,1.6017188934243736,6.0,26.0,39.48961709278598,50.457686577876835,18.0,1.2777386197668323,2.3020118930849534,5.325941230878151,8.0,53.0,30.667525773195877,33.96423042494035,17.0,1.1074947219871185,1.7198461851535474,2.5847977865339242,9.0,42.0,22,0,738
0,0.5129947040988615,0.6137145615246398,0.2472814940948039,0.6328671328671329,0.7633587786259542,0.39236641221374047,0.3321678321678322,0.35877862595419846,0.183206106870229,0.3041958041958042,0.40610687022900765,0.21068702290076335,0.14680723548000435,26.658822952522378,40266,6.6873260345147525,3.2445529811581437,0.4852563951592131,7.0,-0.32719328545534754,-0.4675314236800765,5.0,9.0,16.446985446985448,9.036957089979323,15.0,0.5494871769621963,0.4729238712722256,-0.2680582712662307,11.0,22.0,11.762248271716262,10.312859092061435,9.0,0.8767866539772216,2.8398812835592984,10.49334648767132,7.0,12.0,1,1,770
0,0.5328979144189044,0.6102045741140562,0.7464883506184892,0.6468531468531469,0.7633587786259542,0.8259541984732824,0.34965034965034963,0.383206106870229,0.5633587786259542,0.3006993006993007,0.3816793893129771,0.2641221374045801,0.10853179190751445,24.4705545707255,33373,6.223263740945888,2.6257433109719095,0.42201671077850705,7.0,-0.19973548355963,0.1783637791976771,5.0,8.0,13.18765638031693,7.436830473262829,12.0,0.5639566502288458,0.8836967255964715,0.8945385829726153,9.0,16.0,11.147350427350426,11.15718272640977,9.0,1.0008819510225677,4.751116298031067,27.100139687573048,7.0,11.0,1,1,826
0,0.5925217872739209,0.599897701329467,0.7325148053529835,0.6958041958041958,0.7618320610687023,0.8076335877862595,0.42657342657342656,0.36335877862595417,0.5618320610687023,0.2727272727272727,0.4,0.24732824427480915,0.11608236735463198,28.90928922677219,33042,5.7927745078140855,2.4406650473635843,0.42142907772308036,6.0,-0.2700024236075638,0.11300189091112012,4.0,7.0,13.054347826086957,7.258878374673707,12.0,0.5560846383707335,0.9880184421982192,1.2443544800309239,9.0,15.0,11.48049645390071,11.730809577038132,9.0,1.0218014371334305,4.487547132235618,23.665184195552122,7.0,12.0,1,1,1049
0,0.65780484713217,0.5931361442300026,0.7257076777642586,0.7517482517482518,0.7557251908396947,0.8045801526717558,0.5034965034965035,0.35877862595419846,0.5603053435114503,0.2517482517482518,0.3984732824427481,0.24580152671755726,0.11839318436020085,32.347922779693995,31501,5.480603015075377,2.148295730533687,0.3920925547914987,6.0,-0.5890772587811837,0.05048753267320283,4.0,7.0,12.049153908138598,7.33199586269628,11.0,0.6085396019501146,1.1536291211904794,1.5605970102881273,7.0,14.0,12.698332687088019,14.742834354042996,10.0,1.1609928424848428,4.293972575464611,19.509142036448313,8.0,12.0,1,1,1315
0,0.6740804292267425,0.5554710679120934,0.25812665070553403,0.7867132867132867,0.7282442748091603,0.3938931297709924,0.5559440559440559,0.3480916030534351,0.17557251908396945,0.23426573426573427,0.3816793893129771,0.2198473282442748,0.18691666666666668,42.38951784583894,42409,5.4543022737405265,2.5985966997865177,0.47652661013851705,6.0,-0.35858364855196156,-0.48439497140687626,4.0,7.0,15.2591918456498,9.512583290651362,13.0,0.6234248813433747,0.9145540955210044,0.40529710907801775,9.0,19.0,16.791961295124676,15.04036151316688,11.0,0.8956944072474984,2.0820606728448747,4.823966746437437,8.0,22.0,1,1,1399
0,0.7209198596080725,0.591371375497054,0.7106727425768439,0.8006993006993007,0.7374045801526717,0.783206106870229,0.5804195804195804,0.36946564885496186,0.5587786259541985,0.22377622377622378,0.36946564885496186,0.22595419847328244,0.13605651105651106,29.137448276228742,26300,4.450851631438539,1.8170917554735198,0.40839001520947693,5.0,-0.6081542916859908,-0.0976447251365653,3.0,6.0,11.459131247080803,8.291242818131353,10.0,0.7235731109313085,1.5867350319857683,3.178885419730903,6.0,14.0,13.50362647325476,18.127583509527177,9.0,1.342397995637268,3.5141495019409743,11.620447996149032,7.0,12.0,1,1,1441
0,0.800697455764166,0.7100330560557898,0.760418456433144,0.9265734265734266,0.783206106870229,0.8778625954198473,0.5874125874125874,0.5725190839694656,0.6106870229007634,0.34265734265734266,0.21221374045801528,0.2687022900763359,0.48679692609548725,2.1737230408151933,119397,15.258711898564112,19.53952590545774,1.2805304605584618,6.0,1.7360474483744932,1.9958721159435746,3.0,19.0,14.082201951633433,19.072548270686227,8.0,1.3543474229931065,2.882054836959874,8.764476019783999,3.0,15.0,25.85866119709118,23.45247189781396,21.0,0.9069520176255101,2.0215249330691547,5.03077270503786,9.0,33.0,1,0,1460
