,z_centroid/z_shape,x_centroid/x_shape,y_centroid/y_shape,z_max/z_shape,x_max/x_shape,y_max/y_shape,z_min/z_shape,x_min/x_shape,y_min/y_shape,z_length/z_shape,x_length/x_shape,y_length/y_shape,iou_on_xoy,distance_nearest_centroid,point_count,mean_z_distance_on_xoy,std_z_distance_on_xoy,std_z_distance_div_mean_z_distance,median_z_distance_on_xoy,skew_z_distance_on_xoy,kurt_z_distance_on_xoy,quantile_down_z_distance_on_xoy,quantile_up_z_distance_on_xoy,mean_x_distance_on_zoy,std_x_distance_on_zoy,median_x_distance_on_zoy,std_x_distance_div_mean_x_distance,skew_x_distance_on_zoy,kurt_x_distance_on_zoy,quantile_down_x_distance_on_zoy,quantile_up_x_distance_on_zoy,mean_y_distance_on_zox,std_y_distance_on_zox,median_y_distance_on_zox,std_y_distance_div_mean_y_distance,skew_y_distance_on_zox,kurt_y_distance_on_zox,quantile_down_y_distance_on_zox,quantile_up_y_distance_on_zox,max_nonzero_internal,target,class_id
0,0.5709336839826826,0.8118045066476713,0.29754552151115216,0.9965397923875432,0.8362369337979094,0.42857142857142855,0.0,0.7386759581881533,0.06097560975609756,1.0,0.09930313588850175,0.3693379790940767,0.06107249255213505,2.034960931341972,66534,115.63143631436314,75.68876633708774,0.6545720971519998,99.0,0.41413089803759384,-0.8111021037467947,61.0,170.0,0.8372125013755916,0.7225080957359423,1.0,0.8631559354562146,0.30171410033265567,-0.8926333786757001,0.0,1.0,6.5901675977653635,6.915697968685296,4.0,1.0493888777809715,1.3887842733634168,1.3088409481722003,2.0,10.0,9,0,3
0,0.5705124400126793,0.7972626528154338,0.7519718182718037,0.9965397923875432,0.8310104529616724,0.926829268292683,0.0,0.7334494773519163,0.5853658536585366,1.0,0.09930313588850175,0.343205574912892,0.06999732834624632,2.4027444397147897,76773,127.9058524173028,77.28920816122816,0.6042694875256942,131.5,-0.067081143676379,-0.9710839944620444,66.25,191.0,0.8615559809076151,0.6899180304996683,1.0,0.8010123931581314,0.4306649717930823,0.7294320249158055,0.0,1.0,5.666752843846949,4.189474476939689,4.0,0.7393537778361261,1.2471357185022607,1.191692586717482,3.0,8.0,1,0,4
0,0.5220269766967861,0.9049600919136997,0.25842343883978,0.9965397923875432,0.9163763066202091,0.2735191637630662,0.0,0.8832752613240418,0.22822299651567945,1.0,0.03484320557491289,0.047038327526132406,0.1648148148148148,0.574598719948211,6587,104.85393258426966,72.53550080067342,0.6917795759620311,106.0,0.3374750530383184,-0.7949593926395218,37.0,150.0,0.3100636435958632,0.4625653851671284,0.0,1.4902589701848825,0.8215570988051712,-1.3255713675014864,0.0,1.0,0.8513209668353008,0.6446834520064403,1.0,0.7575590383560394,0.14917325767640371,-0.6489131916067206,0.0,1.0,1,0,23
0,0.5627996677547192,0.908491998476007,0.7077360216828756,0.9965397923875432,0.9181184668989547,0.7369337979094077,0.0,0.8885017421602788,0.6916376306620209,1.0,0.0313588850174216,0.047038327526132406,0.2242798353909465,0.6371962473241074,9319,111.33944954128441,76.22204650734763,0.684594384353411,107.0,0.29384520108761936,-1.0120875935991958,47.0,168.0,0.8998980632008154,0.650299521439107,1.0,0.7229447459628165,0.10141077720665147,-0.6585600012397586,0.0,1.0,1.9849455477258169,1.023011812783331,2.0,0.5156293504401299,-0.3831541960447257,-0.6693522218763155,1.0,3.0,1,0,24
0,0.21478972920894876,0.6980396119550621,0.3494230730900783,0.31141868512110726,0.7247386759581882,0.4250871080139373,0.07958477508650519,0.6411149825783972,0.2665505226480836,0.23529411764705882,0.08536585365853659,0.1602787456445993,0.21007098491570542,2.36606269728019,7517,7.270327349524815,3.201611017325445,0.4404437956619759,8.0,-0.47955872840383784,-0.49150540892724015,5.0,10.0,5.527060782681099,2.6285881071662254,5.0,0.47568002786881075,0.46221379818851716,0.4481811928633177,4.0,7.0,10.346376811594203,6.467987030704369,9.0,0.6251813525777751,0.5792981602825507,-0.609391648323395,6.0,15.0,6,1,206
0,0.21672152026560546,0.6986464794665814,0.6844798837037974,0.314878892733564,0.7264808362369338,0.7682926829268293,0.10034602076124567,0.632404181184669,0.6010452961672473,0.2179930795847751,0.09581881533101046,0.16898954703832753,0.1943767572633552,3.001479932994436,6716,6.175506268081003,2.8697695176056945,0.46478857027010223,7.0,-0.3457712708204402,-0.6706494586710279,4.0,8.0,5.633689839572193,2.2391469885769713,6.0,0.3975634954819539,-0.3853805129987176,-0.13447565216742774,4.0,7.0,10.169161676646707,6.090753521246784,9.0,0.5989829576883727,0.512816489416968,-0.3501491127271046,6.0,14.0,14,1,262
0,0.28007015699504934,0.6870249646627561,0.313863827783636,0.39792387543252594,0.7369337979094077,0.4250871080139373,0.11072664359861592,0.5505226480836237,0.21951219512195122,0.2906574394463668,0.18815331010452963,0.2073170731707317,0.13157485216308745,10.4749730516164,10967,6.0218805440567715,2.7028573988033875,0.4489309357914273,6.0,-0.4568617534740358,-0.5843587282090508,4.0,8.0,7.499283667621777,3.8750187219959447,7.0,0.516782950320727,0.5855346568788052,0.2537604587762958,5.0,9.0,8.3299293008641,5.676514959567417,7.0,0.6814983964608288,1.007857078299927,0.385086056581196,5.0,11.0,1,1,286
0,0.26930709888334625,0.6844707982061794,0.7216057414348367,0.39792387543252594,0.7439024390243902,0.7996515679442509,0.11418685121107267,0.5452961672473867,0.6010452961672473,0.28719723183391005,0.20034843205574912,0.20034843205574912,0.12362948960302457,10.803239019773835,10144,5.98348623853211,2.798906296322522,0.46786076276604327,6.0,-0.3265964201494655,-0.7787602288074109,4.0,8.0,7.524308152580404,3.8184334642022737,7.0,0.5075451246328833,1.0358533614857686,2.8061486215923126,5.0,9.0,7.367994100294985,4.882937454792867,6.0,0.6627685391412322,1.133838060438306,0.9048907175877487,4.0,9.0,1,1,300
0,0.3290047632479074,0.6630363743464398,0.7426174458050141,0.45674740484429066,0.7508710801393729,0.8240418118466899,0.14878892733564014,0.43205574912891986,0.6010452961672473,0.31141868512110726,0.3205574912891986,0.22473867595818817,0.10591506572295248,17.111337102073172,13936,6.035401750198886,2.9020245717935254,0.4809197087814569,7.0,-0.45998394256233094,-0.7427118986555148,4.0,8.0,10.056311881188119,5.462275669675084,10.0,0.5432143036047204,0.6050332202271838,0.6559850816301989,7.0,12.0,8.171458442237324,6.214428549103887,7.0,0.7605335154695908,1.5360449707526052,2.431076103420624,4.0,10.0,1,1,384
0,0.34670038535645475,0.6820377065248769,0.2937177540902164,0.46366782006920415,0.759581881533101,0.4250871080139373,0.17647058823529413,0.49477351916376305,0.1986062717770035,0.2906574394463668,0.2665505226480836,0.22822299651567945,0.12408322107468941,12.84325944910792,16608,6.762364294330519,2.997891274027247,0.44340229854853563,7.0,-0.3061776514639784,-0.5459571461867689,5.0,9.0,10.336633663366337,5.093154699369531,10.0,0.4927776380219181,0.2601387930471726,0.03348056691341217,7.0,14.0,9.452380952380953,6.992215081849553,8.0,0.7397580947045432,1.3427796127586034,1.2459018385622866,5.0,11.0,1,1,471
