,z_centroid/z_shape,x_centroid/x_shape,y_centroid/y_shape,z_max/z_shape,x_max/x_shape,y_max/y_shape,z_min/z_shape,x_min/x_shape,y_min/y_shape,z_length/z_shape,x_length/x_shape,y_length/y_shape,iou_on_xoy,distance_nearest_centroid,point_count,mean_z_distance_on_xoy,std_z_distance_on_xoy,std_z_distance_div_mean_z_distance,median_z_distance_on_xoy,skew_z_distance_on_xoy,kurt_z_distance_on_xoy,quantile_down_z_distance_on_xoy,quantile_up_z_distance_on_xoy,mean_x_distance_on_zoy,std_x_distance_on_zoy,median_x_distance_on_zoy,std_x_distance_div_mean_x_distance,skew_x_distance_on_zoy,kurt_x_distance_on_zoy,quantile_down_x_distance_on_zoy,quantile_up_x_distance_on_zoy,mean_y_distance_on_zox,std_y_distance_on_zox,median_y_distance_on_zox,std_y_distance_div_mean_y_distance,skew_y_distance_on_zox,kurt_y_distance_on_zox,quantile_down_y_distance_on_zox,quantile_up_y_distance_on_zox,max_nonzero_internal,target,class_id
0,0.5737835925083312,0.8454432895669342,0.714916172425408,0.9963369963369964,0.8748091603053435,0.9053435114503817,0.0,0.7893129770992366,0.5358778625954198,1.0,0.08702290076335878,0.3709923664122137,0.1066349000072197,1.3133182717068508,131377,111.79417738659444,60.201150118243575,0.5385039992383653,125.0,-0.1689322282147763,-0.7560969576883951,60.0,153.0,1.367982843446449,0.876935558166841,1.0,0.6413050115051961,-0.021933727469454017,-0.7367121885667913,1.0,2.0,8.814449676280164,6.817680134947258,7.0,0.7734920378814438,0.9630138222341117,0.5327324530270467,4.0,13.0,1,0,96
0,0.5404429926428927,0.8621383958114452,0.3017462765183579,0.9963369963369964,0.8793893129770992,0.45038167938931295,0.0,0.8229007633587786,0.11908396946564885,1.0,0.05801526717557252,0.332824427480916,0.1500482858522453,0.6536208625607299,124142,122.50683829444891,67.55892455133824,0.5514743014969967,125.0,-0.03392474613448414,-0.8498598994913218,69.0,171.0,1.6775362318840579,0.9061287615348346,2.0,0.5404284663647898,-0.33564439218041786,-0.6413521586753026,1.0,2.0,15.816594459761061,12.478978029268845,13.0,0.7889934250759243,1.0229156056077007,0.5184699907728372,7.0,22.0,1,0,115
0,0.20653001564708925,0.7067771036306849,0.34761818028477653,0.2967032967032967,0.732824427480916,0.45038167938931295,0.0989010989010989,0.6458015267175573,0.22442748091603054,0.20146520146520147,0.08854961832061069,0.22748091603053436,0.25040499884286044,5.241801941622262,10771,4.66358595194085,2.4025231933140416,0.5152704265882332,5.0,-0.37069976266871857,-0.8641309157164763,3.0,7.0,7.34005376344086,3.8860650462705775,7.0,0.5294968776319998,2.010958005187842,8.615342158210614,5.0,8.0,12.70111111111111,7.651953365659074,13.0,0.6024946009931129,0.48370660521136416,-0.11267413331197362,7.0,17.0,14,1,424
0,0.22567287784679088,0.6981669942111027,0.6692034890008465,0.315018315018315,0.7282442748091603,0.7954198473282442,0.11721611721611722,0.6412213740458015,0.5709923664122137,0.20146520146520147,0.08854961832061069,0.22595419847328244,0.250116495806151,4.577234218556855,12282,5.5901257568700515,2.547709775597222,0.45584912349100976,6.0,-0.3569720276069469,-0.5854966487189661,4.0,8.0,8.465826144658262,4.476661483607104,8.0,0.528847694177832,1.6895360101280308,7.302356943879519,6.0,10.0,13.381632653061224,9.7317057823316,13.0,0.7272639124638366,0.5866248383036624,-0.37504167507009756,4.0,19.0,7,1,464
0,0.2573340696300435,0.6892054468884578,0.2666525709461526,0.3772893772893773,0.7572519083969466,0.43206106870229005,0.12087912087912088,0.5145038167938931,0.16030534351145037,0.2600732600732601,0.24427480916030533,0.2732824427480916,0.11557262569832402,17.30044908870646,20218,6.20785498489426,2.8430802662854564,0.4580683996010405,7.0,-0.37667107076262213,-0.7456562588830753,4.0,9.0,10.779744346116027,5.873955850826755,11.0,0.5449490000143935,1.201498850692819,2.5712360588260763,7.0,13.0,11.40582726326743,7.402443943216172,10.0,0.6490362107136435,1.035315192353745,0.798652013502311,7.0,14.0,28,1,467
0,0.27301201492887406,0.6792605372520045,0.7342375948188405,0.38461538461538464,0.7465648854961832,0.8351145038167939,0.13553113553113552,0.5022900763358779,0.5709923664122137,0.25274725274725274,0.24580152671755726,0.26564885496183205,0.11665595773541801,17.322836456546824,19052,6.175336597307221,2.858917716205337,0.46304434208657164,6.0,-0.21787416263616166,-0.7382453238207054,4.0,8.0,11.350157728706625,6.165130558137883,11.0,0.5432160054074472,1.2843620395662776,2.681963644261786,8.0,13.0,11.117524700988039,8.278246489535517,9.0,0.7446353461624085,1.584774869431468,2.545179215566916,6.0,14.0,24,1,487
0,0.33010263831971376,0.6441909665001704,0.7551891706528817,0.45787545787545786,0.7572519083969466,0.8488549618320611,0.16117216117216118,0.40610687022900765,0.5679389312977099,0.30036630036630035,0.3526717557251908,0.2824427480916031,0.11384111384111384,26.521582341069006,29317,6.852826310380268,3.1686628516976483,0.4624661770166433,7.0,-0.2695838903540643,-0.6551329597708637,5.0,9.0,14.898502495840265,8.5291411218675,14.0,0.5725118086492483,1.0408975480642757,1.2445220563558448,9.0,18.0,12.061553985872855,9.120247533973549,11.0,0.756162214457731,2.1648137433103503,5.6890944669532,7.0,13.0,1,1,511
0,0.32290548811199626,0.6625267865004559,0.24185343087979017,0.45054945054945056,0.7725190839694657,0.42748091603053434,0.1684981684981685,0.416793893129771,0.14045801526717558,0.2857142857142857,0.35725190839694654,0.2885496183206107,0.11043277709944377,28.61039963168904,29563,6.561834561834562,3.1200410488146373,0.4755629628338806,7.0,-0.16100990595399664,-0.6921856703842191,4.0,9.0,14.45881863560732,8.476177064574253,13.0,0.5862574959065665,1.2420427625341062,1.8490639468304049,9.0,17.0,11.7783540802213,7.904762694090602,10.0,0.6711541770669038,1.728560532930606,3.5028083955195326,7.0,13.0,1,1,518
0,0.4009720575924335,0.6329369710384256,0.7536612982673867,0.5128205128205128,0.7694656488549618,0.8473282442748091,0.23076923076923078,0.3648854961832061,0.5648854961832062,0.2857142857142857,0.40610687022900765,0.28396946564885495,0.11419678227827633,26.130444520623847,33412,7.316991150442478,3.1998204512813806,0.4373905878647919,8.0,-0.6402395938617316,-0.4561184073858384,5.0,10.0,17.140565317035904,10.560745043166584,15.0,0.6161482249622758,1.2103767408489945,1.8943945757852574,10.0,22.0,12.785374054356963,12.219310377899623,11.0,0.955729147759098,4.2587406402176065,23.568258189578255,7.0,13.0,1,1,656
0,0.3977101345133147,0.651666717242038,0.23684032367296695,0.5091575091575091,0.783206106870229,0.4305343511450382,0.2454212454212454,0.3969465648854962,0.13893129770992366,0.2673992673992674,0.38778625954198476,0.2931297709923664,0.11171259842519685,24.406633862076827,32451,6.908957415565345,3.028014442917574,0.43835500868564353,7.0,-0.6046161459713114,-0.4974296333901709,5.0,9.0,16.656137544982005,10.7445293668673,14.0,0.6451005965370328,1.2570996257824074,1.8088340438560158,10.0,20.0,12.606699751861042,8.610856478733705,12.0,0.6830632588202694,2.301837476565422,7.734118943104216,8.0,14.0,1,1,743
